DEF_SUB,ACO_NUM,aco_npi_cnt,saving_npi_pct,aco_epi_cnt,aco_readm_oe,aco_readm_saving,aco_er_oe,aco_er_saving,aco_ins_oe,aco_ins_saving,avg_aco_saving,total_aco_saving,avg_cost_score,avg_quality_score
PPI_IOP_MJRLE_KNEE,A4943,1,0,11,0.995456618,0,0.687618613,0,0.573910612,0,0,0,2,4
PPI_IOP_MJRLE_KNEE,A4945,2,0.5,25,0.8405492002,0,0.4945569856,0,1.0117699659,170.99112716,170.99112716,4274.7781791,3.96,4
PPI_IOP_MJRLE_KNEE,A4947,4,1,103,1.3095336098,106.94629663,1.131557659,6.115666657,0.9330326867,165.8505561,278.9125193,28727.989488,4.5339805825,2.9902912621
PPI_IOP_MJRLE_KNEE,A4949,8,0.875,234,0.5692399291,5.8701484846,1.235330702,19.574375782,0.513210122,19.592059744,45.036584011,10538.560659,3.8290598291,3.3418803419
PPI_IOP_MJRLE_KNEE,A4950,3,1,67,1.3296094635,132.48068395,1.1054133334,4.4079724042,1.1596532138,207.07604042,343.96469675,23045.634682,3.7313432836,3.9253731343
PPI_IOP_MJRLE_KNEE,A4960,2,0.5,22,0.998346412,130.6198793,0.918476626,2.326003582,0.7601198195,0,132.9458829,2924.8094238,4.5,3.5
PPI_IOP_MJRLE_KNEE,A4961,1,1,14,0.355726411,0,1.037624629,1.197858986,1.216954845,303.4673373,304.6651963,4265.3127482,3,5
PPI_IOP_MJRLE_KNEE,A4964,3,0.3333333333,44,0.6795634912,0,0.7392800408,2.5845875755,0.4138726288,0,2.5845875755,113.72185332,4.4545454545,4
PPI_IOP_MJRLE_KNEE,A4968,43,0.8139534884,868,0.9544577607,107.76724524,1.2185278153,15.849255367,1.0271264682,338.51722402,462.1337246,401132.07295,3.1716589862,2.9297235023
PPI_IOP_MJRLE_KNEE,A4974,1,1,30,2.285735701,447.2156981,1.615454164,13.64171284,0.445215903,0,460.8574109,13825.722327,4,2
PPI_IOP_MJRLE_KNEE,A4976,4,1,124,1.5439208983,170.63565596,0.5294181397,0.0289427346,0.5928130389,58.387698106,229.05229679,28402.484803,3.7419354839,3.0161290323
