CCN,WI,Year
150133,0.8801,2015
150146,0.9324,2015
150149,0.8581,2015
150150,0.9324,2015
150153,1.0009,2015
150154,1.0009,2015
150157,1.0009,2015
150158,1.0009,2015
150160,1.0009,2015
150161,1.0009,2015
150162,1.0009,2015
150163,0.8531,2015
150164,0.9202,2015
150165,1.0247,2015
150166,1.0247,2015
150167,0.9324,2015
150168,0.9324,2015
150169,1.0009,2015
150170,*,2015
150172,0.8531,2015
150173,0.9510,2015
150175,0.8581,2015
150176,0.8531,2015
150177,0.9025,2015
150179,1.0009,2015
150180,0.8801,2015
150181,1.0009,2015
150182,1.0009,2015
160001,0.9062,2015
160005,0.8293,2015
160008,0.8293,2015
160013,0.8548,2015
160016,0.8743,2015
160024,0.9062,2015
160028,0.9555,2015
160029,0.9631,2015
160030,0.9308,2015
160032,0.9062,2015
160033,0.9642,2015
160040,0.8612,2015
160045,0.8652,2015
160047,0.9555,2015
160057,0.9509,2015
160058,0.9631,2015
160064,0.9108,2015
160067,0.8612,2015
160069,0.8691,2015
160079,0.8652,2015
160080,0.9382,2015
160082,0.9062,2015
160083,0.9062,2015
160089,0.8293,2015
160101,0.9062,2015
160104,0.9642,2015
160110,0.8612,2015
160112,0.8293,2015
160117,0.8691,2015
160122,0.8293,2015
160124,0.8293,2015
160146,0.8818,2015
160147,0.8293,2015
160153,0.8818,2015
170001,0.7763,2015
170006,0.8190,2015
170009,0.9239,2015
170010,0.7938,2015
170012,0.7763,2015
170013,0.8676,2015
170014,0.9239,2015
170016,0.8862,2015
170017,0.8316,2015
170020,0.8316,2015
170023,0.7763,2015
170027,0.7763,2015
170033,*,2015
170039,0.7763,2015
170040,0.9239,2015
170049,0.9239,2015
170058,0.7763,2015
170068,0.8074,2015
170074,0.9537,2015
170075,0.7763,2015
170086,0.8862,2015
170094,0.7763,2015
170103,0.8316,2015
170104,0.9239,2015
170105,0.7763,2015
170109,0.9239,2015
170110,0.7763,2015
170120,0.8190,2015
170122,0.8316,2015
170123,0.8316,2015
170133,0.9239,2015
170137,0.7763,2015
170142,0.9139,2015
170145,0.7763,2015
170146,0.9239,2015
170150,0.7878,2015
170166,0.7763,2015
170175,0.8316,2015
170176,0.9239,2015
170180,*,2015
170182,0.9239,2015
170183,0.8316,2015
170185,0.9239,2015
170186,0.8316,2015
170187,0.7763,2015
170188,0.9239,2015
170190,0.9139,2015
170191,0.7763,2015
170192,*,2015
170194,0.9239,2015
170195,*,2015
170196,0.8316,2015
170197,0.8316,2015
170198,0.7763,2015
170199,0.9239,2015
170200,0.8316,2015
170203,0.7763,2015
180001,0.9260,2015
180002,0.7744,2015
180004,0.7722,2015
180005,0.8480,2015
180009,0.8693,2015
180010,0.8862,2015
180011,0.8587,2015
180012,0.8531,2015
180013,0.8765,2015
180016,0.7722,2015
180017,0.8263,2015
