PROVIDER_ID,DEACTIVATION_YEAR,STATE
1790794451,,WI
1033429568,,SC
1144591025,,IL
1194703017,,MO
1932498482,,MD
1629368774,,CA
1245503986,,KS
1043583735,,CT
1780956938,2021,
1548358146,,NM
1093053357,,TN
1538407358,,OH
1134467814,,NY
1437776598,,AL
1417255613,,TX
1861018848,,MD
1508165739,,MO
1578834131,,NC
1114497336,,IL
1477842987,,NC
1508139262,,IL
1861730988,,AZ
1033408828,,TN
1063897965,,WA
1457622003,,NJ
1770947863,,CA
1881164481,,WI
1497225296,,NY
1457822124,,MA
1326346685,,MO
1790083103,,ME
1356640775,,AL
1164807582,,FL
1659588721,,NM
1184831232,,TX
1497764187,,CO
1114298791,,DE
1043581085,,CA
1902376197,,NJ
1548730690,,MA
1306317110,,FL
1487125969,,ID
1124599592,,IL
1942599626,2021,
1124365846,,WV
1932419462,,KS
1003154774,,OR
1295352185,,FL
1215236195,,FL
1144529546,,MA
1235438524,,NC
1427357656,,MA
1548559628,,NC
1114226693,,FL
1891179156,,NJ
1497139505,,TX
1689058810,,AR
1881079622,,PA
1639554231,,ME
1205043270,,MO
1497962260,,MO
1578675765,,NM
1689144933,,FL
1891773685,,OR
1285923573,,NJ
1730499252,,CA
1407193022,,SD
1497093363,,FL
1760720304,,CO
1548508930,,CA
1316246424,,TX
1134746951,,AZ
1336438514,,MI
1639468663,,PA
1497044341,,CA
1316236300,,ME
1821472044,,IL
1164639308,,PA
1942417803,,NJ
1356612873,,AL
1366713323,,PA
1558725606,,KY
1942367487,,WA
1710457247,,GA
1790256170,,FL
1710458195,,TN
1417246877,,AZ
1033408331,,GA
1720326242,,DE
1407194269,,TN
1306463161,,TX
1043509987,,CA
1538376538,,PA
1598236309,,TN
1376014183,,KY
1184195653,,GA
1932670247,,GA
1346855285,,NJ
1134196421,,TX
1619944923,,NJ
1346217635,,FL
1457328783,,DC
1295797454,,FL
1740242841,,MN
1568424521,,CA
1841267507,2021,
1457314080,,NJ
1235191875,,NJ
1578636981,,AZ
1144392036,,AK
1508939307,,WY
1184798852,,NY
1114029634,,CA
1396754743,,CA
1982613188,,IN
1740299411,,WI
1780298612,,PA
1952378325,,KS
1962479279,,GA
1912974122,,WV
1295797280,,MI
1962574681,,NJ
1194898528,,WA
1992878896,,CT
1396819090,,NE
1699191163,,NC
1992121305,,AL
1245258094,,TX
1659473189,,OR
1003918897,,TN
1659389468,,VA
1922016179,,OH
1386652436,,TX
1538177217,,TX
1770591877,,VA
1952319022,,NY
1265441570,,OH
1699737494,,KY
1942262571,,AR
1427530237,,OH
1790267292,,CA
1285706853,,NC
1770656332,,IN
1639242241,,CA
1316019912,,VA
1922171297,,DC
1215000575,,DC
1205909447,,IL
1316362007,,NY
1447676937,,AR
1295113298,,FL
1548711609,,MO
1477005353,,ME
1558813352,,AR
1235535170,,CA
1740298413,,NY
1265440945,,IL
1841208642,,MD
1649289083,,MI
1336158682,,TX
1437168010,,HI
1518975697,,NJ
1093194078,,CO
1477167468,,TN
1104893494,,NY
1194792549,,NC
1386611549,,TX
1598732265,2021,
1922060847,,PA
1285696070,,AR
1487616090,,GA
1699709774,,KY
1881766780,,VA
1144392630,2020,
1881019214,,OH
1942626049,,AR
1033660352,,KY
1457803363,,MO
1598217176,,CA
1437601036,,TN
1609885839,,WA
1093723181,2021,
1508874645,2021,
1922017235,,WA
1922017607,,OH
1568076347,,CA
